ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,dataset_ID,author,url,typedby,checkedby,notes,Subfamily,Dialect,Source,Chinese_name,Population,SubGroup,time_frame,Type,Coverage,Date,Transcriber,Region,Culture,Description,Orthography,Comment
margany,Margany,marg1253,Margany,,Australia,-26.789,144.892,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
martuwangka,"Martu Wangka",mart1256,"Martu Wangka",,Australia,-24.3194,121.954,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
maryriverandbunyabunyacountry,"Mary River and Bunya Bunya Country",,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
mathimathi,Mathi-Mathi,madh1244,"Madhi Madhi",,Australia,-34.5,143.5,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mayikulan,Mayi-Kulan,mayi1236,Mayi-Kulan,,Australia,-18.56,141.46,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mayikutuna,Mayi-Kutuna,maya1280,Mayaguduna,,Australia,-18.1147,140.337,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mayithakurti,Mayi-Thakurti,mayi1234,Mayi-Thakurti,,Australia,-20.0,140.63,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mayiyapi,Mayi-Yapi,mayi1235,Mayi-Yapi,,Australia,-19.25,140.61,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mbabaram,Mbabaram,mbab1239,Mbabaram,,Australia,-20.1389,143.438,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mbakwithi,Mbakwithi,angu1242,Anguthimri,,Australia,-12.395,141.755,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
minjungbal,Minjungbal,minj1242,Minjungbal,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mirniny,Mirniny,kala1379,Kalarko,,Australia,-31.7154,118.911,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mithaka,Mithaka,mith1236,Mithaka,,Australia,-25.13606725,139.598447,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mountfreelingdiyari,"Mount Freeling Diyari",,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
mudburra,Mudburra,mudb1240,Mudburra,,Australia,-16.7694,132.329,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mudburramcc,Mudburra-McC,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
muruwari,Muruwari,muru1266,Muruwari,,Australia,-28.9618,146.546,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
narrungga,Narrungga,naru1238,Narungga,,Australia,-34.69,137.535,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
nggoimwoi,"Ng'goi Mwoi",,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngaanyatjarra,Ngaanyatjarra,ngaa1240,Ngaanyatjarra,,Australia,-25.7514,127.602,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngadjumaya,Ngadjumaya,ngad1258,Ngadjunmaya,,Australia,-32.02447,124.46601,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngadjuri,Ngadjuri,ngad1257,Ngadjuri,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngaiawang,Ngaiawang,lowe1402,"Lower Riverland",,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngamini,Ngamini,ngam1284,Ngamini,,,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngardily,Ngardily,nort2753,"North-western Warlpiri",,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngarigu,Ngarigu,ngar1297,Ngarigu,,Australia,-36.23,149.13,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngarinyman,Ngarinyman,ngar1235,Ngarinman,,Australia,-15.4661,130.651,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngarla,Ngarla,ngar1296,Ngarla,,Australia,-20.20748,119.30579,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngarluma,Ngarluma,ngar1287,Ngarluma,,Australia,-20.9235,117.203,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngarrindjeri,Ngarrindjeri,narr1259,Narrinyeri,,Australia,-36.2301,140.158,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngawun,Ngawun,ngaw1240,Ngawun,,Australia,-19.4484,141.471,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngiyambaa,Ngiyambaa,ngiy1239,Ngiyambaa,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
ngunawal,Ngunawal,ngun1277,Ngunawal,,Australia,-36.25,148.77,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
nhanta,Nhanta,nhan1238,Nhanda,,Australia,-27.42523643,114.2680442,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
nhirrpi,Nhirrpi,nhir1234,Nhirrpi,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
northernmangarla,"Northern Mangarla",mang1383,Mangala,,Australia,-18.6597,123.769,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
